Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,1,0,7,0.22535873504792195,0.8704,6.9737417943107225,1.0210526194917653,0.012938264975295457,0.0028575271536073446,0.1361727297843017,0.05397838946817305,nan,nan,nan,nan,nan,nan,15.065606451457755,
distributed,1,0,10,0.22420341375403338,0.8711,9.968531468531468,1.6287068520047763,0.013570063101077496,0.002092456056399608,0.1254321122166171,0.055396525933225776,nan,nan,nan,nan,nan,nan,15.092516899602936,
distributed,1,0,20,0.22343567353969537,0.8716,19.85986394557823,3.1645762648873053,0.013599615354370242,0.002211878426851251,0.14152070166951558,0.04096713380705391,nan,nan,nan,nan,nan,nan,15.180988712771683,
distributed,1,0,30,0.22335963109632728,0.8711,29.78009259259259,5.3128774375724745,0.012677050160695064,0.001792968385667368,0.12163256891560398,0.05576910689809248,nan,nan,nan,nan,nan,nan,14.811079729723492,
distributed,1,0,50,0.22296509320129843,0.8736,49.28417653390743,11.47377444435788,0.013473123646319404,0.0014830943849828064,0.13362243157963677,0.03458487485036913,nan,nan,nan,nan,nan,nan,14.990034147235301,
distributed,1,0,70,0.2227982400750646,0.8735,69.21965317919076,16.78866805318397,0.012653020688930323,0.0009332074686160945,0.11642667654913477,0.0612498175749709,nan,nan,nan,nan,nan,nan,15.119996067032496,
distributed,1,0,100,0.22262326720401993,0.8739,99.3416087388282,35.97790602887031,0.012697975263254018,0.0029201943989534624,0.14569887972329745,0.04000761623409182,nan,nan,nan,nan,nan,nan,15.019991758604318,
distributed,1,1,-1,0.22775857627175303,0.8637,8.798058252427184,2.6329725366395724,0.012749104910623872,0.0026743243720782697,0.1276680713194394,0.04704216117242879,11.988957827795637,2.7466875130567323,1.3234219424289435,0.1819735191505665,0.9009508546225652,0.19771770510482464,14.927248038836595,
distributed,1,1,1,0.24511987449409195,0.846,1.0,0.0,0.012648458033026116,0.006437819032680311,0.12443374801293659,0.048158434185239914,nan,nan,nan,nan,nan,nan,14.941960459009936,
distributed,1,1,2,0.2348672169038177,0.8539,1.9891304347826086,0.14506169422830154,0.013553121779119506,0.004298212034362208,0.1327519943406517,0.06266901354050727,nan,nan,nan,nan,nan,nan,14.834481511391926,
distributed,1,1,3,0.2308681396049616,0.8583,2.9846743295019156,0.23591522150030333,0.012583405767645762,0.0036186269908001375,0.13436213394501423,0.05641475132466322,nan,nan,nan,nan,nan,nan,15.104562922112247,
distributed,1,1,5,0.22784525708034034,0.8629,4.980099502487562,0.6170297873499276,0.012648434036681401,0.0038311939555244643,0.12258550658072599,0.05898824821444313,nan,nan,nan,nan,nan,nan,15.12397930968899,
distributed,1,1,7,0.22742241767725507,0.863,6.975257731958763,0.9927329682651321,0.013066808668197236,0.002972825606588973,0.12422727168407605,0.056848522038236364,nan,nan,nan,nan,nan,nan,15.080927355235087,
distributed,1,1,10,0.22761150854694184,0.864,9.969072164948454,1.6155494421403511,0.013004368082606316,0.0023120655843874433,0.12184391464095132,0.05759725462225292,nan,nan,nan,nan,nan,nan,14.91232849881604,
distributed,1,1,20,0.22947087205574485,0.864,19.95140664961637,4.092767230737295,0.013414888653626104,0.001694044548080926,0.12374280699541332,0.05440166091184924,nan,nan,nan,nan,nan,nan,15.45540404612611,
distributed,1,1,30,0.2312232143545539,0.8627,29.734146341463415,6.421389642942739,0.01316959300434564,0.001255125511422476,0.14344745998615463,0.054712066706108516,nan,nan,nan,nan,nan,nan,15.050607098792259,
distributed,1,1,50,0.2359877750627378,0.8571,49.891352549889135,14.7,0.013772492891863641,0.0022103647014516162,0.14700548644187245,0.041695993281649565,nan,nan,nan,nan,nan,nan,15.067771366434583,
distributed,1,1,70,0.2373835060157461,0.8566,69.48380566801619,21.853203426500198,0.013417116199847794,0.0015005768613308565,0.1327313831295138,0.04841409317563116,nan,nan,nan,nan,nan,nan,14.98076322551505,
distributed,1,1,100,0.24058484988553067,0.8533,98.03018500486854,32.638061455232844,0.013924576321878795,0.0038719963138627135,0.13628845270808687,0.06065685422852017,nan,nan,nan,nan,nan,nan,14.756397895248393,
distributed,1,2,-1,0.2230153082751613,0.874,98.44542772861357,45.58245276419425,0.013411368535933157,0.003282583029056412,0.11017093272763463,0.047759025035268736,1e-05,0.0,5.30499685907433e-17,2.5846848717666195e-17,0.0,0.0,14.915377567444937,
distributed,1,2,1,0.2497812709947363,0.8402,1.0,0.0,0.012882774471930843,0.0069170777553705775,0.13339901438267218,0.05267685909865592,nan,nan,nan,nan,nan,nan,15.067024252024115,
distributed,1,2,2,0.23592504232140724,0.8545,1.9887640449438202,0.14740554623801777,0.013899451153309022,0.0046671482252301525,0.13820663098772562,0.05332628442545594,nan,nan,nan,nan,nan,nan,14.914711829128356,
distributed,1,2,3,0.23030154595818797,0.8616,2.9846153846153847,0.29806538746827277,0.013365685985704,0.003368808632356019,0.1320892770988734,0.054293838500675,nan,nan,nan,nan,nan,nan,15.0974939635572,
distributed,1,2,5,0.2277393015441705,0.8629,4.976811594202899,0.48760137616788607,0.013643535374495546,0.0035783877255895716,0.1465160634249058,0.05615221424269972,nan,nan,nan,nan,nan,nan,15.012831173449248,
distributed,1,2,7,0.22597772288250412,0.8705,6.974137931034483,1.013746349389064,0.013404152065541703,0.0028588983467022523,0.1298749028018262,0.056670300968294764,nan,nan,nan,nan,nan,nan,14.972531356548338,
distributed,1,2,10,0.22508776819293275,0.8721,9.966789667896679,1.670191850155703,0.013049057385966826,0.0023651433622369805,0.13930540248356743,0.05839777996757431,nan,nan,nan,nan,nan,nan,14.834367393923095,
distributed,1,2,20,0.22373727906046426,0.8717,19.92392807745505,4.13258452395658,0.013048761393542064,0.002769423519185189,0.14972768555988483,0.04565300420732029,nan,nan,nan,nan,nan,nan,14.96207620641106,
distributed,1,2,30,0.22390581120113598,0.8714,29.78824969400245,6.746999156801394,0.01348577548206578,0.0013350893015248463,0.13615804326536504,0.042256018336894484,nan,nan,nan,nan,nan,nan,15.026327614270434,
distributed,1,2,50,0.22369202522119866,0.8732,49.47587719298246,13.294359706281458,0.01264970157368123,0.0019612534390390365,0.14780367587910406,0.06016089711678987,nan,nan,nan,nan,nan,nan,14.912600534655784,
distributed,1,2,70,0.2232356919890064,0.8752,69.85947046843177,22.819605057932094,0.014489847497746497,0.005341599915438887,0.12926613406470144,0.03380745555836727,nan,nan,nan,nan,nan,nan,15.033974682763104,
distributed,1,2,100,0.2235645239476075,0.8761,98.5811209439528,34.23722389446901,0.012457804139712715,0.0018268909642474515,0.12052934147846278,0.06296324912412665,nan,nan,nan,nan,nan,nan,14.774060427394375,
distributed,1,3,-1,0.23673296040221004,0.8568,4.296296296296297,1.0886621079036347,0.012951534686094819,0.0034006000416244874,0.13544020622550748,0.04875058703860352,25.703223413210612,3.423766349965728,2.757588272326713,0.4203528445045588,1.710863390388468,0.38498907182555153,15.140741801968431,
distributed,1,3,1,0.24585715636084807,0.8453,1.0,0.0,0.012490244389819152,0.006377158117261569,0.13044296880893708,0.051017823497914984,nan,nan,nan,nan,nan,nan,15.007987385869408,
distributed,1,3,2,0.23651482835517845,0.8535,1.989795918367347,0.14069079067862747,0.013153429982673718,0.004853255570458271,0.12649207842859436,0.04590206484098061,nan,nan,nan,nan,nan,nan,15.090243680622962,
