time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3
33810,0,368500,1,3.2,0,-0.00000014,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,20,18,94,90,84,76
34808,0,368500,1,3.2,0,0.0000048,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,17,18,76,76,100,74
35808,0,368500,1,3.4,0,-0.00000088,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,83,76,63,94
36806,0,368500,1,3.3,0,0.00000013,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,21,18,78,83,94,93
37805,0,368500,1,3.1,0,0.0000029,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,80,77,83,62
38797,0,368500,1,3.4,0,0.0000015,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,81,75,76,96
39795,0,368500,1,3.2,0,0.00000067,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,15,18,67,71,90,100
40790,0,368500,1,3.2,0,0.0000028,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,14,18,79,63,83,100
41788,0,368500,1,3.2,0,-0.0000029,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,14,18,63,78,84,85
42783,0,368500,1,3.2,0,0.0000032,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,17,18,76,100,80,78
43768,0,368500,1,3.2,0,-0.0000031,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,17,18,89,99,79,73
44765,0,368500,1,3.1,0,0.0000039,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,17,18,75,99,67,89
45764,0,368500,1,3.7,0,0.0000053,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,15,18,82,79,81,79
46759,0,368500,1,3,0,0.0000062,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,13,18,71,71,57,90
47754,0,368500,1,3.3,0,0.0000071,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,14,18,63,93,67,87
48752,0,368500,1,3.2,0,0.0000016,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,18,18,91,80,70,100
49748,0,368500,1,3.1,0,-0.00000034,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,84,75,76,100
50743,0,368500,1,3.3,0,0.0000058,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,18,18,72,79,85,99
51736,0,368500,1,3.1,0,0.0000033,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,20,18,86,79,77,92
52732,0,368500,1,3.3,0,0.00000084,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,19,18,90,84,69,95
53722,0,368500,1,3.1,0,0.0000073,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,10,18,62,64,79,65
54721,0,368500,1,3,0,-0.0000019,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,8,18,57,83,41,72
55720,0,368500,1,3.1,0,0.0000006,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,16,18,100,73,84,76
56719,0,368500,1,3.2,0,0.0000017,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,17,18,95,80,73,79
57715,0,368500,1,3.2,0,0.0000013,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,69,98,70,91
58713,0,368500,1,3.2,0,0.0000014,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,18,18,85,90,84,84
59704,0,368500,1,3.2,0,-0.0000022,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,23,18,92,99,92,71
60697,0,368500,1,3.2,0,0.000005,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,18,18,83,98,82,79
61684,0,368500,1,3.3,0,0.0000036,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,77,89,78,85
62677,0,368500,1,3.1,0,0.0000063,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,12,18,79,75,78,67
63676,0,368500,1,3.1,0,0.0000082,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,18,18,85,77,80,98
64675,0,368500,1,2.9,0,-3.6E-10,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,10,18,60,80,75,61
65674,0,368500,1,3.7,0,0.000002,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,15,18,69,100,79,80
66670,0,368500,1,3.2,0,0.0000019,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,19,18,90,93,75,85
67664,0,368500,1,3.3,0,0.0000043,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,20,18,96,82,71,100
68658,0,368500,1,3.1,0,-0.0000002,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,14,18,69,93,78,64
69657,0,368500,1,3.5,0,0.0000032,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,83,87,88,64
70656,0,368500,1,3.2,0,0.00000058,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,13,18,81,68,84,71
71654,0,368500,1,3.2,0,0.00000014,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,12,18,62,85,81,80
72652,0,368500,1,3.2,0,0.0000021,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,93,63,99,74
73647,0,368500,1,3.3,0,0.0000016,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,19,18,81,80,100,86
74645,0,368500,1,3.1,0,0.0000022,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,18,18,85,70,99,85
75644,0,368500,1,3.2,0,-0.0000032,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,20,18,92,74,89,92
76625,0,368500,1,3.5,0,0.0000046,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,18,18,80,69,99,88
77624,0,368500,1,3.3,0,0.0000051,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,19,18,88,72,90,82
78622,0,368500,1,3.2,0,0.0000069,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,18,18,86,66,95,92
79620,0,368500,1,3,0,0.0000031,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,17,18,88,83,74,88
80617,0,368500,1,3.5,0,-0.00000047,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,17,18,68,70,90,99
81613,0,368500,1,3,0,0.000002,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,14,18,72,73,79,100
82612,0,368500,1,3.5,0,0.0000051,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,19,18,79,88,78,100
83596,0,368500,1,3.2,0,0.00000016,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,16,18,89,77,67,100
84574,0,368500,1,3.3,0,0.0000036,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,20,18,91,77,79,99
85573,0,368500,1,3.1,0,-0.00000085,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,18,18,82,77,82,83
