CELL_GLOBAL_ID,DATETIME,RRU.PrbUsedDl,targetTput,DRB.UEThpDl,x,y,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,rsrp_nb0,rsrq_nb0,rssinr_nb0,rsrp_nb1,rsrq_nb1,rssinr_nb1,rsrp_nb2,rsrq_nb2,rssinr_nb2,rsrp_nb3,rsrq_nb3,rssinr_nb3,rsrp_nb4,rsrq_nb4,rssinr_nb4
1013,43:09.1,77,0.3,0.3,2270.3,-1009,-89.50095523,-10.79412924,32.72783222,-91.50565347,-10.79548771,30.72313399,-97.38016322,-10.80600996,24.84862423,-97.29915575,-10.80574801,24.9296317,-97.70512101,-10.80711109,24.52366645,-100.2759731,-10.81942596,21.95281437
1001,33:09.1,30,0.75,0.117887024,5,-480.6,-89.3722122,-10.79406159,32.85657526,-95.24672195,-10.80050493,26.9820655,-87.36751396,-10.79323017,34.86127349,-91.92222311,-10.79585753,30.30656434,-94.11993525,-10.79852001,28.1088522,-94.22349113,-10.79868174,28.00529632
1010,33:09.1,48,0.1,0.1,-1269,-1344,-114.8015886,-40.79259774,17.42719881,-116.8062869,-40.79305833,15.42250057,-120.7779321,-40.79492091,11.45085532,-122.6807966,-40.7966291,9.547990816,-122.8330111,-40.79680081,9.39577632,-124.9749387,-40.79997812,7.253848719
1003,48:09.1,45,0.1,0.076248917,-512,-913,-118.2297171,-40.79354144,13.99907039,-116.2250188,-40.79290228,16.00376862,-119.3639854,-40.79405733,12.86480208,-124.1042268,-40.79849581,8.124560629,-125.3744723,-40.80076415,6.85431516,-126.1315517,-40.80246683,6.097235786
1001,38:09.1,30,0.75,0.12955382,330.4,-2,-86.11912348,-10.79287603,36.10966397,-91.99363324,-10.79592456,30.23515421,-84.11442525,-10.79248283,38.11436221,-93.19672595,-10.7972363,29.0320615,-93.231176,-10.79727947,28.99761146,-97.01683917,-10.80487225,25.21194829
1006,33:09.1,62,0.25,0.25,-231.0332943,761.9778305,-88.13720221,-10.79350501,34.09158524,-94.01171197,-10.79835505,28.21707548,-86.13250398,-10.79287931,36.09628348,-91.79908433,-10.7957445,30.42970313,-93.75567292,-10.79798075,28.47311453,-96.4270918,-10.80321613,25.80169565
1009,38:09.1,45,0.1,0.065244493,-1421,-964,-120.3798278,-40.79464872,11.84895967,-118.3751295,-40.7936003,13.85365791,-122.8457359,-40.79681544,9.383051509,-123.4232974,-40.79752658,8.805490052,-125.6833827,-40.80142334,6.545404721,-126.2543375,-40.80277197,5.974449916
1005,38:09.1,91,0.75,0.414153283,1008,358.2,-84.17312964,-10.79249195,38.05565781,-90.0476394,-10.79443993,32.18114805,-82.16843141,-10.79224074,40.06035605,-95.10439967,-10.80022496,27.12438778,-96.32023602,-10.80293932,25.90855143,-97.72038597,-10.80716486,24.50840148
1013,48:09.1,77,0.3,0.3,2270.1,-1009,-89.4981662,-10.79412776,32.73062125,-91.50286444,-10.79548535,30.72592301,-97.37737419,-10.80600086,24.85141326,-97.29805737,-10.80574449,24.93073008,-97.70412066,-10.80710757,24.52466679,-100.2754197,-10.81942245,21.95336778
1003,53:09.1,45,0.1,0.076248917,-512,-913,-118.2297171,-40.79354144,13.99907039,-116.2250188,-40.79290228,16.00376862,-119.3639854,-40.79405733,12.86480208,-124.1042268,-40.79849581,8.124560629,-125.3744723,-40.80076415,6.85431516,-126.1315517,-40.80246683,6.097235786
1013,53:09.1,45,0.3,0.158624762,2366,-1004,-92.7578807,-10.79671531,29.47090675,-98.63239046,-10.81074451,23.596397,-90.75318246,-10.79490325,31.47560499,-99.80785315,-10.81661238,22.4209343,-100.1884481,-10.81887674,22.04033936,-102.5318601,-10.83813299,19.69692732
1001,43:09.1,30,0.25,0.133220105,30.99378175,-292.0496118,-85.09699117,-10.79265301,37.13179628,-90.97150093,-10.79506253,31.25728653,-83.09229293,-10.79234226,39.13649452,-94.16281112,-10.7985865,28.06597633,-94.2519905,-10.79872693,27.97679696,-94.8404375,-10.79972933,27.38834996
1001,48:09.1,30,0.75,0.117925911,5,-480,-89.36136749,-10.79405598,32.86741996,-95.23587725,-10.80048327,26.99291021,-87.35666925,-10.79322663,34.8721182,-91.93009741,-10.79586486,30.29869004,-94.12049978,-10.79852088,28.10828767,-94.22404235,-10.79868261,28.0047451
1002,43:09.1,50,0.1,0.1,-570,-841,-115.5031222,-40.7927354,16.72566526,-117.5078204,-40.79327671,14.72096702,-117.8386946,-40.7933926,14.39009282,-123.3823302,-40.79747297,8.846457265,-123.5875695,-40.79774671,8.641217963,-123.8670476,-40.79814086,8.361739902
1009,43:09.1,45,0.1,0.079705831,-1622,-1334,-117.5636379,-40.79329565,14.66514958,-115.5589396,-40.79274733,16.66984781,-121.4404221,-40.79543295,10.7883654,-123.4381476,-40.79754614,8.790639819,-126.6365596,-40.80377885,5.592227895,-128.2416066,-40.80911862,3.987180829
1010,38:09.1,48,0.1,0.1,-1269,-1344,-114.8015886,-40.79259774,17.42719881,-116.8062869,-40.79305833,15.42250057,-120.7779321,-40.79492091,11.45085532,-122.6807966,-40.7966291,9.547990816,-122.8330111,-40.79680081,9.39577632,-124.9749387,-40.79997812,7.253848719
1013,58:09.1,45,0.3,0.158608172,2365.8,-1001,-92.76096698,-10.79671879,29.46782048,-98.63547673,-10.81075794,23.59331072,-90.75626874,-10.79490545,31.47251871,-99.80224238,-10.81658045,22.42654507,-100.1936702,-10.8189092,22.03511725,-102.5228098,-10.83803707,19.70597768
1009,48:09.1,45,0.1,0.079705831,-1622,-1334,-117.5636379,-40.79329565,14.66514958,-115.5589396,-40.79274733,16.66984781,-121.4404221,-40.79543295,10.7883654,-123.4381476,-40.79754614,8.790639819,-126.6365596,-40.80377885,5.592227895,-128.2416066,-40.80911862,3.987180829
