time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3
33736,0,368500,1,3.2,0,0.0000097,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,14,18,71,89,81,98
34704,0,368500,1,3.2,0,0.00000057,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,94,94,99,91
35683,0,368500,1,3.2,0,-0.0000021,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,93,91,94,95
36673,0,368500,1,3.3,0,0.0000017,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,16,18,97,92,85,97
37672,0,368500,1,3.1,0,-0.0000017,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,20,18,100,98,93,96
38656,0,368500,1,3.3,0,-0.00000094,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,92,100,94,97
39605,0,368500,1,3.2,0,-0.0000055,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,14,18,78,84,86,95
40594,0,368500,1,3.2,0,0.00000026,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,100,95,99,96
41590,0,368500,1,3.2,0,-0.0000023,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,100,96,93,91
42584,0,368500,1,3.2,0,0.00000047,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,20,18,100,92,94,96
43579,0,368500,1,3.5,0,-0.0000029,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,96,94,94,95
44577,0,368500,1,3,0,-0.0000023,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,12,18,75,84,81,86
45567,0,368500,1,3.7,0,0.0000011,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,16,18,91,93,92,87
46538,0,368500,1,3.2,0,0.0000042,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,16,18,100,89,95,92
47487,0,368500,1,2.6,0,-0.0000017,n/a,n/a,n/a,27,69,1.4,75856.414062,0,0,0,0,26,0,122434.1875,0,0,0,0,0,11,874984,1677556,67,17,18,100,92,84,96
48477,0,368500,1,2.3,0,0.0000069,n/a,n/a,n/a,27,79,1.4,140000,0,0,0,0,26,0,117280.789062,0,0,0,0,0,11,874984,1677556,67,15,18,100,94,82,89
49449,0,368500,1,3,0,0.0000051,n/a,n/a,n/a,27,67,1.7,13731.543945,0,0,0,0,26,0,56805.367188,0,0,0,0,0,11,874984,1677556,67,16,18,100,91,95,92
50449,0,368500,1,2.6,0,-0.0000033,n/a,n/a,n/a,27,69,1.4,107251.335938,0,0,0,0,28,516,221989.3125,0,0,0,0,0,11,874984,1677556,67,14,18,99,98,96,96
51371,0,368500,1,1.9,0,-0.0000017,n/a,n/a,n/a,27,inf,1.4,424153.46875,0,0,0,0,27,0,469199.03125,0,0,0,0,0,11,874984,1677556,66,16,18,100,94,90,96
52370,0,368500,1,2.3,0,-0.0000026,n/a,n/a,n/a,27,82,1.4,752446.5,0,0,0,0,26,0,286976.75,0,0,0,0,0,11,874984,1677556,66,16,18,97,100,83,94
53368,0,368500,1,1.9,0,-0.0000026,n/a,n/a,n/a,27,69,1.4,92627.179688,0,0,0,0,27,0,476487.8125,0,0,0,0,0,11,874984,1677556,67,13,18,93,95,94,98
54293,0,368500,1,2.3,0,-0.0000053,n/a,n/a,n/a,27,70,1.5,188469.96875,0,0,0,0,27,0,223185.375,0,0,0,0,0,11,874984,1677556,67,15,18,96,97,94,100
55266,0,368500,1,3,0,-0.0000051,n/a,n/a,n/a,27,79,1.2,68571.429688,0,0,0,0,27,0,189553.890625,0,0,0,0,0,11,874984,1677556,67,15,18,91,90,99,96
56258,0,368500,1,3.6,0,0.000000025,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,18,18,95,95,100,96
57255,0,368500,1,3,0,-0.0000016,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,15,18,97,99,100,100
58236,0,368500,1,2.7,0,-0.000003,n/a,n/a,n/a,27,70,1.7,34703.449219,0,0,0,0,26,0,103466.664062,0,0,0,0,0,11,874984,1677556,67,15,18,98,97,100,100
59243,0,368500,1,3.3,0,0.00000071,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,17,18,99,100,100,100
60213,0,368500,1,3.2,0,-0.0000014,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,12,18,100,98,100,93
61186,0,368500,1,3,0,-0.0000025,n/a,n/a,n/a,26,79,1.5,3830.220703,0,0,0,0,26,0,17874.363281,0,0,0,0,0,11,874984,1677556,67,17,18,96,99,95,100
62183,0,368500,1,3.1,0,0.0000013,n/a,n/a,n/a,27,73,1.5,4775.623047,0,0,0,0,27,0,19457.064453,0,0,0,0,0,11,874984,1677556,67,18,18,90,91,92,100
63179,0,368500,1,3.3,0,-0.0000028,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,21,18,98,91,93,100
64176,0,368500,1,2.8,0,-0.00000029,n/a,n/a,n/a,27,73,1.4,18723.925781,0,0,0,0,26,0,55128.835938,0,0,0,0,0,11,874984,1677556,67,18,18,95,92,98,94
65155,0,368500,1,3.6,0,0.0000043,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,17,18,90,90,97,94
66152,0,368500,1,2.9,0,-0.00000061,n/a,n/a,n/a,27,79,1.3,12146.789062,0,0,0,0,27,0,90116.210938,0,0,0,0,0,11,874984,1677556,67,17,18,99,96,92,91
67150,0,368500,1,3.2,0,0.0000076,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,18,18,100,95,91,93
68146,0,368500,1,3.1,0,0.0000014,n/a,n/a,n/a,26,79,1.5,3788.778809,0,0,0,0,26,0,20831.683594,0,0,0,0,0,11,874984,1677556,67,17,18,89,92,92,90
69142,0,368500,1,3.2,0,-0.00000053,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,17,18,95,98,86,95
70140,0,368500,1,3.2,0,0.00000048,n/a,n/a,n/a,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,17,18,89,100,95,98
71137,0,368500,1,3.3,0,-0.0000033,n/a,n/a,n/a,26,72,1.7,1796.178345,0,0,0,0,25,0,10802.547852,0,0,0,0,0,11,874984,1677556,67,16,18,93,99,87,94
72136,0,368500,1,3.2,0,-0.00000028,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,24,0,1117.647095,0,0,0,0,0,11,874984,1677556,67,17,18,94,94,94,91
73134,0,368500,1,3.1,0,-0.0000025,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,21,18,96,100,99,95
74132,0,368500,1,3.5,0,-0.0000022,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,16,18,99,94,83,94
75100,0,368500,1,3.6,0,-0.00000003,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,16,18,93,94,85,99
76086,0,368500,1,3.2,0,-0.0000019,n/a,n/a,n/a,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,19,18,100,95,89,100
77082,0,368500,1,3.3,0,0.00000083,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,19,18,100,93,92,95
78080,0,368500,1,3,0,-0.0000034,n/a,n/a,n/a,26,inf,1.5,5325,0,0,0,0,26,0,39450,0,0,0,0,0,11,874984,1677556,67,11,18,98,69,96,72
79013,0,368500,1,3.1,0,-0.0000025,n/a,n/a,n/a,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,19,18,92,95,94,99
79963,0,368500,1,2.6,0,0.0000013,n/a,n/a,n/a,27,69,1.7,41207.242188,0,0,0,0,26,0,116490.945312,0,0,0,0,0,11,874984,1677556,67,14,18,87,93,88,97
80962,0,368500,1,2.9,0,0.0000066,n/a,n/a,n/a,27,inf,1.7,123517.507812,0,0,0,0,26,0,252824.90625,0,0,0,0,0,11,874984,1677556,67,17,18,92,92,82,100
81958,0,368500,1,2.9,0,0.0000039,n/a,n/a,n/a,27,inf,1.4,62205.609375,0,0,0,0,26,0,162527.109375,0,0,0,0,0,11,874984,1677556,67,16,18,91,86,92,98
82957,0,368500,1,3.2,0,0.0000039,n/a,n/a,n/a,27,72,1.7,71148.085938,0,0,0,0,27,0,106728.789062,0,0,0,0,0,11,874984,1677556,67,16,18,90,91,89,96
83960,0,368500,1,1.7,0,0.0000014,n/a,n/a,n/a,27,69,1.7,2038676.375,0,0,0,0,27,659,266043.78125,0,0,0,0,0,11,874984,1677556,67,18,18,89,99,81,85
84923,0,368500,1,0.48,0,-0.0000096,n/a,n/a,n/a,28,69,1.8,17714078,0,0,0,0,27,115,955376.625,0,0,0,0,0,11,874984,1677556,67,25,18,94,86,88,100
85911,0,368500,1,0.44,0,-0.000005,n/a,n/a,n/a,28,60,1.8,24444800,0,0,0,0,26,115,463350,0,0,0,0,0,11,874984,1677556,67,31,18,95,90,88,100
86910,0,368500,1,0.37,0,0.00000098,n/a,n/a,n/a,28,69,1.8,23925576,0,0,0,0,26,171,460800,0,0,0,0,0,11,874984,1677556,67,32,18,97,92,90,100
87895,0,368500,1,0.088,0,-0.0000035,n/a,n/a,n/a,28,71,1.9,25639346,0,0,0,0,26,283,430258.5,0,0,0,0,0,11,874984,1677556,67,30,18,99,90,85,100
88868,0,368500,1,0.74,0,0.000027,n/a,n/a,n/a,28,69,1.8,25482490,0,0,0,0,26,92,528105.9375,0,0,0,0,0,11,874984,1677556,67,30,18,97,90,93,100
89856,0,368500,1,-0.2,0,0.0000016,n/a,n/a,n/a,28,69,1.8,25241600,0,0,0,0,27,552,477723.0625,0,0,0,0,0,11,874984,1677556,67,28,18,96,99,83,88
90848,0,368500,1,1,0,0.000006,n/a,n/a,n/a,28,69,1.8,25467548,0,0,0,0,26,168,700645.1875,0,0,0,0,0,11,874984,1677556,67,26,18,91,92,83,86
91821,0,368500,1,0.15,0,-0.0000014,n/a,n/a,n/a,28,69,1.9,25467060,0,0,0,0,26,244,515758.375,0,0,0,0,0,11,874984,1677556,67,30,18,96,95,90,94
92819,0,368500,1,0.19,0,0.000012,n/a,n/a,n/a,28,69,1.9,25557838,0,0,0,0,26,41,608270.25,0,0,0,0,0,11,874984,1677556,67,31,18,100,94,94,94
93816,0,368500,1,0.67,0,0.000012,n/a,n/a,n/a,28,72,1.8,25437272,0,0,0,0,26,56,1105674.375,0,0,0,0,0,11,874984,1677556,67,27,18,100,97,95,96
94810,0,368500,1,-0.1,0,0.000016,n/a,n/a,n/a,28,69,1.8,25467060,0,0,0,0,27,569,675114.125,0,0,0,0,0,11,874984,1677556,67,31,18,100,100,91,95
95801,0,368500,1,0.74,0,0.000012,n/a,n/a,n/a,28,69,1.8,25368460,0,0,0,0,27,56,1344863.25,0,0,0,0,0,11,874984,1677556,66,29,18,100,96,95,95
96794,0,368500,1,0.6,0,0.0000048,n/a,n/a,n/a,28,69,1.8,13767455,0,0,0,0,26,168,900590.9375,0,0,0,0,0,11,874984,1677556,66,24,18,100,91,100,96
